"Reference","Value","Size","Qty","Description","DNP"
"C1,C4,C5,C8,C9,C12,C13,C15,C17,C34,C36,C38,C39,C41,C43,C44,C47,C48,C51,C52,C54,C58,C59,C61,C68,C69,C70","0.1u","0603,1206","27","Unpolarized capacitor, small symbol",""
"C2,C33","20p","0603","2","Unpolarized capacitor, small symbol","DNP"
"C3,C6,C7,C11,C14,C16,C18,C35,C37,C40,C42,C45,C46,C49,C50,C53,C55,C57,C62","10u","0805","19","Unpolarized capacitor, small symbol",""
"C10,C66,C67","0.01u","0603","3","Unpolarized capacitor, small symbol",""
"C19,C21","680p","0603","2","Unpolarized capacitor",""
"C20","39p","0603","1","Unpolarized capacitor",""
"C22,C26,C31","1n","0603","3","Unpolarized capacitor",""
"C23","200p","0603","1","Unpolarized capacitor",""
"C24","390p","0603","1","Unpolarized capacitor",""
"C25","10p","0603","1","Unpolarized capacitor",""
"C27","220p","0603","1","Unpolarized capacitor",""
"C28","100p","0603","1","Unpolarized capacitor",""
"C29","12p","0603","1","Unpolarized capacitor",""
"C30","120p","0603","1","Unpolarized capacitor",""
"C32","82p","0603","1","Unpolarized capacitor",""
"C56","0.047u","0805","1","Unpolarized capacitor, small symbol","DNP"
"H1,H2,H3,H4","M3","","4","",""
"J1","ADC","","1","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J2","CURRENT_PUMP_2","","1","coaxial connector (BNC, SMA, SMB, SMC, Cinch/RCA, LEMO, ...)",""
"J3","VOLTAGE_MEASUREMENT_1","","1","coaxial connector (BNC, SMA, SMB, SMC, Cinch/RCA, LEMO, ...)",""
"J4","VOLTAGE_MEASUREMENT_2","","1","coaxial connector (BNC, SMA, SMB, SMC, Cinch/RCA, LEMO, ...)",""
"J5","PROG","","1","Generic connector, double row, 02x04, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J6","Dual power supply","","1","Generic connector, single row, 01x03, script generated",""
"J7","Single power supply","","1","Generic connector, single row, 01x02, script generated",""
"J8","CURRENT_PUMP_1","","1","coaxial connector (BNC, SMA, SMB, SMC, Cinch/RCA, LEMO, ...)",""
"L1","1.0uH","0603","1","Inductor",""
"L2","1.5uH","0603","1","Inductor",""
"L3","1.8uH","0603","1","Inductor",""
"R1,R2","200R","0603","2","Resistor",""
"R3,R8,R13,R24,R25,R26","499","0603","6","Resistor","DNP"
"R4,R17,R19,R23,R29,R35","0R","0603","6","Resistor","DNP"
"R5,R6,R16,R21,R28,R31,R33,R34","10K","0603","8","Resistor",""
"R7","6.8K","0603","1","Resistor",""
"R9,R11,R36,R37","49.9","0603","4","Resistor",""
"R10,R12,R18","22R","0603","3","Resistor","DNP"
"R14,R15,R27","51R","0805","3","Resistor",""
"R20,R22","1K","0603","2","Resistor","DNP"
"R30","47R","0603","1","Resistor","DNP"
"R32,R44","100R","0603","2","Resistor",""
"R38,R39","52.3","0603","2","Resistor",""
"R40","2K","0603","1","Resistor",""
"TP1","TP_REFOUT","","1","test point",""
"TP2","TP_IOUT","","1","test point",""
"TP3","TP_IOUTB","","1","test point",""
"TP4","TP_RESET","","1","test point",""
"TP5","TP_SDATA","","1","test point",""
"TP6","TP_SCLK","","1","test point",""
"TP7","TP_FSYNC","","1","test point",""
"TP8","TP_MCLK","","1","test point",""
"TP9,TP19,TP20,TP28,TP30,TP31","TP_GND","","6","test point",""
"TP10","TP_DIF_SIN","","1","test point",""
"TP11","+3.3V_TP","","1","test point",""
"TP12","+5V_TP","","1","test point",""
"TP13","-5V_TP","","1","test point",""
"TP14,TP15","GND_TP","","2","test point",""
"TP16,TP21,TP22","VOUT_FILTERED","","3","test point",""
"TP17,TP23,TP26","VOUT_BUFFER","","3","test point",""
"TP18,TP24,TP27","VIN_DiffToSingle","","3","test point",""
"TP25","GND","","1","test point",""
"U1","AD9834BRUZ","","1","",""
"U2,U4,U6,U8","AD8130ARZ","","4","",""
"U3","AD8014ARZ","","1","",""
"U5,U7,U10","AD8066ARZ-R7","","3","",""
"U9","AD8302ARUZ","","1","",""
"Y2","75MHz","2.5x2.0mm","1","HCMOS Crystal Clock Oscillator, 2.5x2.0 mm SMD",""
